alert_id,ip_address,ip_address_v6,mac_address,report_date,assigned_to,severity,incident_type,description,suggested_solution,recommended_playbook
234,143.214.169.35,efe4:759c:ddcc:942d:9c57:6f4d:b637:98b1,D2-37-BF-B1-BC-40,1/1/2022,Morty (Lvl 1 Analyst),Mild,Incident Response (Breach),"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.

Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.","Phasellus in felis. Donec semper sapien a libero. Nam dui.

Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.

Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.",Create-AzureDevOpsTask
235,17.24.167.66,c521:1172:2f6a:e602:2c13:f19c:f66f:bb87,CA-9C-67-4A-4B-0A,12/9/2021,Rick (Lvl 3 Analyst),High,Passive Threat Detection (Maicious URL),"Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.

Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.","Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.

Sed ante. Vivamus tortor. Duis mattis egestas metus.",Send-email-with-formatted-incident-report
236,21.187.10.48,1bb6:9ed9:49f4:2bdd:ea13:e047:d424:33f6,35-22-07-5D-68-94,7/25/2021,Rick (Lvl 3 Analyst),Critical,Passive Threat Detection (Maicious URL),"Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.

Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.

Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",Sed ante. Vivamus tortor. Duis mattis egestas metus.,Guardicore-Import-Incidents
237,234.1.164.106,404d:53f7:d550:8d74:97ee:b3b1:e1d2:a9dd,72-06-60-44-75-79,11/23/2021,Morty (Lvl 1 Analyst),Medium,Passive Threat Detection (Maicious URL),"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.

Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.","In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.

Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.",Export-Report-CSV
238,147.15.142.215,7595:1ddb:e9b3:a722:184b:9390:8f4b:4349,14-EB-19-30-36-2E,7/26/2021,Summer (Lvl 2 Analyst),Critical,Active Threat Hunting,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.

Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.

Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.","Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.

Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.",Comment-OriginAlertURL
239,7.232.226.35,5f10:4c43:d01c:6fb9:807f:c105:d592:69cf,C7-03-A1-8F-A9-21,4/12/2022,Summer (Lvl 2 Analyst),Critical,Passive Threat Detection (Traffic from known Bad IP),"Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.

Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.",Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.,Update-NamedLocations-TOR
240,119.144.29.83,56c8:c2f4:471b:af65:495d:14c8:9b48:af7f,7C-8C-62-D8-FF-46,8/15/2021,Summer (Lvl 2 Analyst),Mild,Passive Threat Detection (Maicious URL),"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.","Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.

Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.

In congue. Etiam justo. Etiam pretium iaculis justo.",Get-Recipients-EmailMessageID-containing-URL
241,138.116.92.65,eb18:bdec:a745:23f2:3e13:845b:62e5:c3a1,09-0C-EE-9C-57-7A,3/31/2022,Summer (Lvl 2 Analyst),Critical,Forensics,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.

Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.

Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.",RecordedFuture_C2_Malware_Detect
242,140.132.14.219,f4c6:786c:4877:5fb9:a84d:2269:cd22:4d70,CA-F0-08-BC-37-D1,5/19/2021,Summer (Lvl 2 Analyst),High,Incident Response (Breach),Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.,Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.,Ingest-CanaryTokens
243,251.216.115.122,4f92:5caa:23fa:e9a3:bc55:54bb:d8d1:75c4,6F-92-10-A9-6B-E4,7/14/2021,Morty (Lvl 1 Analyst),Medium,Passive Threat Detection (Failed Brute Force Attempt),"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.

Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.",Sed ante. Vivamus tortor. Duis mattis egestas metus.,PaloAlto-Wildfire
244,133.91.221.118,f270:74f5:de9a:3158:ebc:2d1f:790b:5035,C9-F2-5C-8A-DA-D0,6/27/2021,Morty (Lvl 1 Analyst),Critical,Forensics,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.,"In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.

Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.",Confirm-AADRiskyUser
245,88.31.35.32,8dce:e827:9610:ee68:4159:f496:143:17bd,47-13-56-D4-37-01,8/8/2021,Morty (Lvl 1 Analyst),Mild,Passive Threat Detection (Maicious URL),Sed ante. Vivamus tortor. Duis mattis egestas metus.,"In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.

Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.",Get-MDATPVulnerabilities
246,219.61.96.164,a443:df80:6689:9a51:75c:f28:2c3b:971e,7E-46-89-BC-52-14,10/22/2021,Summer (Lvl 2 Analyst),Critical,Active Threat Hunting,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.","Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",Get-TenableVlun
247,99.163.33.230,617c:ccfe:5df7:7eda:ecd:938d:70cc:2a4f,CC-49-9E-0C-2D-F5,1/9/2022,Morty (Lvl 1 Analyst),Medium,Passive Threat Detection (Maicious URL),"Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.

Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.

Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.","Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",Incident-Email-Notification
248,102.145.106.157,8558:56c2:6678:deb2:444f:1f55:eda1:ea62,AC-C4-96-23-C8-96,8/1/2021,Rick (Lvl 3 Analyst),Mild,Incident Response (Breach),Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.,Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.,ForcepointNGFW
249,253.241.17.159,b4e5:36b7:2373:6c36:c872:7aab:bb18:a220,11-D2-9B-19-6F-E1,10/20/2021,Rick (Lvl 3 Analyst),Critical,Incident Response (Phishing),"In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.

Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.

Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.","Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.

In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",AS_Alert_Spiderfoot_Scan
250,32.4.137.243,9f79:61eb:f2b2:302b:6d6c:5e86:c3ac:f398,2F-F7-34-3F-C5-62,8/23/2021,Rick (Lvl 3 Analyst),Mild,Passive Threat Detection (Maicious URL),In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,"Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.

Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",OktaRawLog
251,200.2.14.103,eacf:caaa:7f1:6906:67a2:cb23:8571:60ef,EB-39-7A-92-A2-CC,3/11/2022,Rick (Lvl 3 Analyst),Mild,Passive Threat Detection (Traffic from known Bad IP),"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.

Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.",Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.,ForcepointNGFW
252,46.189.241.77,ccc6:b434:6c66:d64e:f2de:d9c9:156e:673e,12-DB-EE-57-3A-EA,4/22/2022,Summer (Lvl 2 Analyst),High,Active Threat Hunting,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.

Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.","Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.",Watchlist-Add-IPToWatchList
253,93.102.111.32,3339:6432:4588:35ff:e939:312a:8f1e:c081,E5-F3-11-E9-D6-78,11/15/2021,Summer (Lvl 2 Analyst),Mild,Passive Threat Detection (Traffic from known Bad IP),"Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.

Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.

Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",Sed ante. Vivamus tortor. Duis mattis egestas metus.,Incident-Status-Sync-To-WDATP
254,137.35.7.69,3b72:69f2:4c4e:d992:e973:b834:7fb:fa56,25-ED-6D-DA-E2-A9,9/10/2021,Morty (Lvl 1 Analyst),High,Incident Response (Breach),"Sed ante. Vivamus tortor. Duis mattis egestas metus.

Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.","Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.

Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",AS_Alert_Spiderfoot_Scan
255,233.145.242.51,3605:e52f:58f9:675c:b12e:68d5:6e44:66ed,9F-3F-B9-91-9C-FA,4/10/2022,Summer (Lvl 2 Analyst),Mild,Infrastructure Maintenance/Development,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.","Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.

In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",Spur-Enrichment
256,23.194.220.95,2284:bf78:c3d6:e701:b678:a2a8:23db:4440,AC-D0-B6-F5-13-15,6/7/2021,Morty (Lvl 1 Analyst),High,Passive Threat Detection (Traffic from known Bad IP),"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.

Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.

Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.,Send-UrlReport
257,1.8.42.195,e733:ec77:efe0:5cf6:ca6c:f82:6176:1226,6B-07-6E-2C-DB-E9,6/23/2021,Summer (Lvl 2 Analyst),Critical,Incident Response (Phishing),"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.

Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.

Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.","Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.

Sed ante. Vivamus tortor. Duis mattis egestas metus.

Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",Confirm-AADRiskyUser
258,182.214.97.209,1577:f751:d8e6:5bb8:71e5:c73f:6bb6:3076,89-51-49-AE-EE-96,3/13/2022,Rick (Lvl 3 Analyst),Critical,Passive Threat Detection (Maicious URL),"Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.

Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.

Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.","Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",Close-Incident-MCAS
259,245.112.183.127,4087:b6de:37fb:8873:a439:7340:8666:e8fd,69-02-6A-86-21-FF,2/26/2022,Rick (Lvl 3 Analyst),Medium,Infrastructure Maintenance/Development,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.

Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.","Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.

Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.

Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",Restrict-MDEFileHash
260,175.12.23.104,dfc6:2360:f99d:4142:ced0:bb46:2d5b:218a,9F-94-39-F1-D2-5F,11/12/2021,Morty (Lvl 1 Analyst),Medium,Active Threat Hunting,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.,"Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.

Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.

Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.",ForcepointNGFW
261,26.133.226.53,a0ba:909e:ce3f:2cb9:1a2d:be89:d247:ff80,71-AE-C0-3B-91-60,5/14/2021,Morty (Lvl 1 Analyst),Critical,Passive Threat Detection (Traffic from known Bad IP),"Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.","Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.",Send-basic-email
262,140.152.157.227,b839:2a0:a9c5:e2a1:5980:2d05:2a9d:4f99,42-D2-CE-EB-67-EF,12/29/2021,Morty (Lvl 1 Analyst),Mild,Infrastructure Maintenance/Development,"Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.

Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.

Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.","Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.

Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.

Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.",Get-SOCActions
263,146.186.16.77,daa4:870a:225f:3cf5:9c5a:d5f9:1138:33a4,F8-76-70-94-21-2C,9/14/2021,Summer (Lvl 2 Analyst),High,Infrastructure Maintenance/Development,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.

Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.","Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.

Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",Post-Message-Slack
264,114.15.133.85,b5fe:a871:3210:637f:ea5c:5f29:1e86:7514,4D-9B-43-EF-EA-87,3/20/2022,Rick (Lvl 3 Analyst),Mild,Infrastructure Maintenance/Development,"Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.

Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.","Phasellus in felis. Donec semper sapien a libero. Nam dui.

Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.

Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.",Run-MDEAntivirus
265,144.57.253.62,7a2c:1f8c:5cf6:84b:74ba:951d:9c9a:2abc,53-77-ED-FD-8E-92,11/24/2021,Rick (Lvl 3 Analyst),Critical,Incident Response (Breach),"Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.

Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.","Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.

Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.

Fusce consequat. Nulla nisl. Nunc nisl.",Get-SentinelAlertsEvidence
266,139.193.246.172,8ebb:88ea:9a78:a4a6:4273:1e91:6e0d:7961,EC-2D-75-FE-22-2A,10/16/2021,Summer (Lvl 2 Analyst),Medium,Passive Threat Detection (Maicious URL),"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.","Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.

Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.",Get-Microsoft-Covid19-Indicators
267,54.155.155.232,7d80:3195:fafd:e920:856b:62d9:6fff:6ef6,51-9F-D9-A2-B9-CF,10/18/2021,Rick (Lvl 3 Analyst),High,Passive Threat Detection (Failed Brute Force Attempt),"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.

Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.

Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.,Add-IP-Entity-To-Named-Location
268,238.28.245.201,e778:7d0d:2f54:f57a:346f:271c:2598:ab4f,CA-4D-FE-7C-20-93,4/3/2022,Summer (Lvl 2 Analyst),High,Forensics,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.

Phasellus in felis. Donec semper sapien a libero. Nam dui.",In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.,Get-MDEFileActivityWithin30Mins
269,225.118.238.188,6cbb:feee:8a87:af48:b98e:df3:c35b:a2cc,86-8B-88-A4-55-D4,4/7/2022,Rick (Lvl 3 Analyst),Critical,Active Threat Hunting,"Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.

Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.,AS_Alert_Spiderfoot_Scan
270,104.134.20.243,b3c1:e3ca:ed6d:5835:f478:1392:5449:9401,E1-B0-D4-AA-13-8B,9/12/2021,Summer (Lvl 2 Analyst),Medium,Passive Threat Detection (Failed Brute Force Attempt),"Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.

Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.

Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.","Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.

Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.

Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",Get-SentinelAlertsEvidence
271,67.243.169.224,8603:3769:7b49:9c80:46cb:64fa:a88c:68d4,BA-E4-3C-0D-4D-E6,5/19/2021,Summer (Lvl 2 Analyst),High,Passive Threat Detection (Maicious URL),In congue. Etiam justo. Etiam pretium iaculis justo.,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.

Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.

Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",Ingest-Prisma
272,41.17.112.185,1492:5154:78e4:b1e9:12cb:a715:c9ff:80a5,72-59-D5-87-A4-20,12/1/2021,Rick (Lvl 3 Analyst),Medium,Infrastructure Maintenance/Development,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.","Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.

Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.

Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",M365-Security-Posture Move-LogAnalytics-to-Storage
273,32.140.238.198,12be:4d01:26c1:b568:ddc:8911:33ff:8894,85-ED-89-C6-C8-D8,7/10/2021,Morty (Lvl 1 Analyst),Critical,Passive Threat Detection (Failed Brute Force Attempt),"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus.

Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.","In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.

Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.

Sed ante. Vivamus tortor. Duis mattis egestas metus.",M365-Security-Posture Move-LogAnalytics-to-Storage
274,71.131.81.143,b30f:617f:e4d2:936d:aa3f:bd81:2ef8:d422,69-03-09-55-B4-F5,4/19/2022,Summer (Lvl 2 Analyst),Mild,Incident Response (Breach),"Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.

Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.

Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.","Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.

Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.",ADX-Health-Playbook
275,73.106.80.141,6f00:5ea6:5cd6:680a:792f:461a:7b89:5912,E8-97-AF-E5-03-FE,12/8/2021,Morty (Lvl 1 Analyst),High,Passive Threat Detection (Failed Brute Force Attempt),In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,"Phasellus in felis. Donec semper sapien a libero. Nam dui.

Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.

Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.",Update-Watchlist-With-NamedLocation
